Age,Gender,Experience,Industry,FamilyStatus,Location,InterpersonalRelationships,Commuting,WorkEfficiency,Housework,FamilyTime,Sleep,SocialIsolation,EconomicResources,RemoteWorkCompatability,Motivation,PhysicalEnvironment,Wellbeing,MentalHealth,PhysicalHealth,Sociability,ManagingRole,RemoteWorkExtent,RemoteWorkSupport,Productivity
49,Female,2,Retail Trade,One parent family with dependent children,Regional,3,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,3,No,1,2,3
44,Female,3,Administrative and Support,Couple with dependent children,Regional,3,-2.0,0.0,1.0,0.0,1.0,2,2,3,2,3,3,3,3,3,Yes,1,3,2
43,Male,3,Construction,Couple with dependent children,Metro,2,-2.0,0.0,1.0,1.0,0.0,2,2,2,2,3,2,3,3,2,Yes,1,3,2
26,Female,2,Retail Trade,Other one family household,Metro,2,-2.0,0.0,0.0,2.0,0.0,1,1,1,3,2,3,3,3,1,No,3,2,2
43,Male,3,Accommodation and Food,Couple with dependent children,Regional,3,0.0,6.0,-1.0,-5.0,0.0,3,3,3,3,3,2,3,3,3,Yes,1,3,3
45,Male,3,Wholesale Trade,Couple with dependent children,Metro,3,-2.0,0.0,2.0,0.0,0.0,2,2,2,2,2,2,2,3,1,Yes,2,2,3
60,Male,3,Wholesale Trade,Couple with no dependent children,Metro,1,-1.0,0.0,2.0,-2.0,1.0,3,3,1,3,1,3,3,3,1,Yes,3,2,3
56,Female,2,Education and Training,Couple with dependent children,Metro,3,-1.0,0.0,-1.0,0.0,2.0,3,3,3,3,3,3,3,3,3,No,3,3,3
62,Male,2,Wholesale Trade,Couple with dependent children,Metro,2,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,3,3,3,No,3,2,2
57,Female,3,Wholesale Trade,Couple with dependent children,Metro,2,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,3,3,3,3,No,2,3,3
32,Male,2,Wholesale Trade,Couple with dependent children,Metro,3,1.0,0.0,0.0,-2.0,1.0,3,2,2,3,3,3,3,3,3,Yes,1,3,3
46,Female,3,Financial and Insurance,Couple with no dependent children,Metro,3,0.0,0.0,0.0,2.0,-2.0,3,1,3,3,3,3,3,3,3,Yes,1,3,3
34,Female,3,Financial and Insurance,Couple with dependent children,Metro,3,-3.5,1.5,2.0,0.0,0.0,2,2,3,2,2,2,3,3,1,No,3,3,2
46,Female,2,Other Services,One parent family with dependent children,Regional,1,0.0,1.0,0.5,-1.5,0.0,1,1,2,2,2,2,2,2,2,No,1,2,2
42,Female,2,Information Media and Telecommunications,Couple with no dependent children,Metro,3,-1.0,0.0,0.0,2.0,-1.0,2,2,1,2,2,1,2,2,3,Yes,3,3,3
38,Female,1,Construction,Couple with dependent children,Metro,2,0.0,0.0,-1.0,1.0,0.0,2,2,2,2,2,1,3,3,3,Yes,1,2,2
54,Male,3,"Rental, Hiring and Real Estate",Other one family household,Regional,2,-1.0,-2.0,0.0,3.0,0.0,2,2,2,2,2,2,1,1,3,Yes,1,2,1
54,Male,3,Manufacturing,Couple with dependent children,Metro,1,-1.5,0.0,0.0,1.5,0.0,2,2,3,2,3,3,3,2,3,Yes,2,2,2
61,Male,3,Other Services,Couple with no dependent children,Metro,2,-3.0,2.0,0.0,1.0,0.0,2,2,1,2,1,1,3,3,2,No,2,2,3
39,Male,3,"Transport, Postal and Warehousing",Couple with no dependent children,Metro,1,0.0,0.0,-1.0,1.0,0.0,2,3,2,3,3,3,3,3,1,Yes,1,2,3
42,Male,3,"Agriculture, Forestry and Fishing",Couple with dependent children,Metro,1,-2.5,0.0,0.5,1.5,0.5,1,1,2,1,1,2,3,3,2,Yes,1,3,3
59,Female,1,Retail Trade,Couple with dependent children,Metro,3,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,Yes,3,3,3
60,Male,3,"Professional, Scientific and Technical",Couple with dependent children,Metro,1,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,1,2,3,Yes,1,2,2
38,Male,2,"Professional, Scientific and Technical",Couple with dependent children,Metro,1,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,1,1,3,Yes,1,3,2
56,Male,2,Construction,Couple with no dependent children,Metro,2,-4.0,2.0,0.5,0.5,1.0,2,3,2,3,2,3,3,3,3,No,2,2,3
40,Female,1,Information Media and Telecommunications,Single person,Metro,1,-1.0,0.0,1.0,-2.0,2.0,3,2,1,3,2,2,3,3,3,No,2,2,3
55,Female,2,"Professional, Scientific and Technical",Couple with no dependent children,Regional,3,-0.25,0.0,1.0,0.0,-0.75,1,1,2,1,2,2,1,1,3,No,1,2,1
47,Female,2,Wholesale Trade,Couple with dependent children,Metro,1,-1.5,0.0,0.0,2.0,-0.5,2,3,2,2,2,2,3,3,3,No,2,2,2
43,Male,3,Financial and Insurance,Couple with dependent children,Metro,1,-2.0,2.0,0.0,0.0,0.0,1,1,2,2,2,1,2,2,2,No,3,2,2
34,Female,2,"Rental, Hiring and Real Estate",Couple with dependent children,Metro,2,1.0,0.0,0.0,-1.0,0.0,2,2,2,2,2,2,3,2,3,Yes,1,2,3
37,Male,3,Manufacturing,Couple with dependent children,Regional,1,-2.0,2.0,0.0,0.0,0.0,2,2,2,2,2,2,3,1,1,No,3,2,2
38,Male,2,Financial and Insurance,Couple with dependent children,Metro,2,-2.0,1.0,1.0,1.0,-1.0,2,2,3,2,2,2,3,3,2,No,3,3,3
50,Male,2,Retail Trade,Couple with dependent children,Metro,2,-1.0,2.0,0.0,1.0,-2.0,2,3,2,3,3,2,2,3,1,Yes,2,2,3
41,Male,3,Information Media and Telecommunications,Couple with dependent children,Metro,2,-2.0,0.0,0.0,2.0,0.0,2,2,2,2,2,2,2,2,2,No,2,2,2
40,Male,3,Financial and Insurance,Couple with dependent children,Metro,1,-2.0,1.0,1.0,0.0,0.0,3,3,3,3,3,3,3,3,2,Yes,2,2,3
44,Female,3,Arts and Recreation,Couple with dependent children,Regional,1,0.0,0.0,0.0,0.0,0.0,1,2,1,2,2,1,3,3,2,No,3,3,3
40,Male,3,Information Media and Telecommunications,Couple with dependent children,Metro,3,0.0,0.0,-1.0,1.0,0.0,2,3,3,2,2,3,3,3,3,No,1,3,3
59,Male,3,Information Media and Telecommunications,Couple with no dependent children,Metro,1,-2.0,1.0,1.0,0.0,0.0,2,2,2,2,2,2,2,3,2,No,3,3,2
43,Male,3,Information Media and Telecommunications,Couple with dependent children,Metro,3,0.0,0.0,-1.0,1.0,0.0,3,3,3,3,3,3,3,3,3,Yes,2,3,3
41,Female,2,Retail Trade,One parent family with dependent children,Metro,1,-2.0,-1.0,0.0,1.0,2.0,1,2,2,3,3,3,2,3,3,Yes,2,3,3
34,Male,1,Retail Trade,Multiple family household,Metro,1,-1.0,1.0,0.0,0.0,0.0,2,1,1,2,2,2,1,2,3,No,2,2,2
49,Male,3,Information Media and Telecommunications,Couple with dependent children,Metro,1,-3.0,1.0,1.0,1.0,0.0,1,1,1,1,1,2,2,2,3,No,3,3,2
36,Male,3,Administrative and Support,Couple with dependent children,Metro,1,-1.0,0.0,0.0,-1.0,2.0,1,1,1,1,1,1,3,3,3,Yes,2,3,3
57,Male,2,Other Services,Couple with dependent children,Metro,1,0.0,0.0,1.0,-1.0,0.0,2,3,2,2,2,2,2,1,3,Yes,2,3,2
60,Female,3,Retail Trade,Couple with no dependent children,Regional,1,0.0,1.0,-1.0,0.0,0.0,1,1,1,1,1,1,3,3,2,No,3,3,2
58,Male,2,"Professional, Scientific and Technical",Couple with no dependent children,Metro,2,-1.5,2.0,0.0,-0.5,0.0,2,2,2,2,2,2,1,1,3,No,1,2,1
29,Male,2,Financial and Insurance,Single person,Metro,2,-1.5,0.0,0.0,1.5,0.0,2,3,2,3,3,2,2,3,3,No,3,3,2
40,Male,2,"Professional, Scientific and Technical",Group household,Metro,3,-1.5,-1.0,1.0,1.5,0.0,2,3,3,2,2,3,3,1,3,Yes,2,2,1
60,Male,3,"Rental, Hiring and Real Estate",Couple with no dependent children,Regional,2,-1.0,1.0,1.0,0.0,-1.0,2,2,2,3,3,3,3,3,2,No,1,2,3
31,Female,2,Other Services,Couple with no dependent children,Metro,1,-1.0,0.0,1.0,0.0,0.0,2,2,2,2,2,2,3,1,3,No,2,2,2
26,Female,1,Public Administration and Safety,Multiple family household,Metro,2,-2.5,0.0,0.5,1.0,1.0,2,2,2,2,2,3,3,3,1,No,3,1,2
47,Female,3,Health Care and Social Assistance,Couple with dependent children,Metro,2,-1.5,1.5,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,No,3,3,3
60,Male,3,"Agriculture, Forestry and Fishing",Couple with dependent children,Regional,2,4.0,0.0,4.0,-2.0,-6.0,2,2,2,3,2,2,3,3,3,Yes,1,2,2
40,Male,1,Public Administration and Safety,Couple with dependent children,Metro,1,-1.0,1.0,1.0,-1.0,0.0,1,1,2,2,1,2,2,1,3,No,2,3,2
36,Female,3,Health Care and Social Assistance,Couple with dependent children,Metro,3,-3.0,0.5,0.0,2.5,0.0,1,2,2,1,1,2,3,2,1,No,1,2,3
40,Male,3,Financial and Insurance,Couple with dependent children,Metro,1,-2.5,0.0,1.0,1.0,0.5,2,2,2,3,2,2,2,2,1,Yes,3,3,2
44,Male,3,Public Administration and Safety,Other one family household,Metro,2,-1.5,1.0,0.5,0.0,0.0,2,2,2,2,2,2,3,3,2,No,3,2,2
50,Male,1,"Professional, Scientific and Technical",Couple with dependent children,Metro,2,1.0,0.0,4.0,-5.0,0.0,2,2,2,2,2,2,2,2,2,Yes,3,2,2
43,Female,2,Health Care and Social Assistance,Other one family household,Metro,1,-2.5,0.0,0.5,1.0,1.0,1,1,1,1,1,1,3,3,1,Yes,2,2,3
64,Female,3,Health Care and Social Assistance,Other one family household,Metro,2,1.0,0.0,1.0,-2.0,0.0,2,2,3,2,2,2,1,3,2,No,1,1,2
43,Female,2,Financial and Insurance,Single person,Metro,2,0.0,-4.0,0.0,0.0,4.0,2,2,2,2,2,2,2,2,2,No,2,2,2
51,Female,1,"Rental, Hiring and Real Estate",Group household,Metro,1,-6.0,3.0,0.0,0.0,3.0,2,3,3,3,2,2,3,3,1,Yes,2,2,3
56,Male,3,"Transport, Postal and Warehousing",Single person,Metro,1,-0.5,0.0,0.0,0.5,0.0,2,2,1,1,1,1,1,1,3,No,1,3,1
45,Female,3,Retail Trade,Single person,Metro,1,-1.5,0.0,0.0,0.5,1.0,2,2,2,2,2,2,2,2,2,Yes,1,1,3
64,Male,3,"Professional, Scientific and Technical",Couple with dependent children,Metro,1,-1.0,0.0,1.0,0.0,0.0,1,3,2,2,2,3,3,3,2,No,3,3,3
35,Female,2,Public Administration and Safety,Couple with dependent children,Regional,3,-1.0,-0.5,0.0,1.0,0.5,2,2,2,2,2,2,2,1,2,Yes,1,2,2
35,Female,2,"Rental, Hiring and Real Estate",Couple with no dependent children,Metro,3,-2.0,0.0,2.0,0.0,0.0,3,3,3,3,3,2,3,2,3,Yes,1,3,2
30,Female,2,"Professional, Scientific and Technical",Couple with dependent children,Metro,2,-0.5,2.0,-1.0,0.0,-0.5,1,2,1,1,2,3,2,2,3,No,3,2,1
56,Male,3,Construction,Couple with dependent children,Metro,1,-3.0,2.0,1.0,0.0,0.0,1,1,1,1,1,1,3,3,2,No,3,3,3
49,Male,3,Education and Training,Couple with dependent children,Regional,1,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,3,Yes,1,1,2
59,Female,2,Manufacturing,Couple with no dependent children,Regional,3,-1.0,-4.0,4.0,0.0,1.0,1,1,1,1,1,1,1,1,3,Yes,1,1,2
48,Male,3,Public Administration and Safety,Single person,Metro,2,-2.0,0.0,0.0,1.0,1.0,1,2,3,2,2,2,3,3,2,No,2,3,2
38,Male,1,Information Media and Telecommunications,Couple with dependent children,Metro,3,0.0,0.0,0.0,-1.0,1.0,3,3,3,3,3,2,2,3,3,Yes,2,2,2
55,Female,3,"Professional, Scientific and Technical",Single person,Metro,3,0.0,0.0,1.0,-1.0,0.0,3,1,1,1,2,2,2,3,2,No,3,3,2
31,Female,2,Accommodation and Food,Couple with dependent children,Metro,1,-1.0,0.0,1.0,0.0,0.0,1,3,1,2,3,3,3,1,3,Yes,1,2,2
26,Female,2,Administrative and Support,One parent family with dependent children,Metro,2,0.0,0.0,5.0,-2.0,-3.0,2,3,3,2,3,2,2,3,3,No,1,1,3
64,Female,2,Accommodation and Food,Couple with no dependent children,Regional,1,-1.5,-1.0,2.5,0.0,0.0,1,3,3,1,1,1,3,3,2,Yes,2,2,3
51,Male,3,Financial and Insurance,Couple with dependent children,Metro,3,1.0,1.0,-1.0,-2.0,1.0,3,2,3,2,3,2,3,2,3,No,2,2,3
41,Male,3,Retail Trade,Couple with dependent children,Metro,3,-3.5,-1.5,1.0,2.0,2.0,3,3,3,3,3,3,3,2,3,Yes,2,3,2
43,Female,2,Education and Training,Couple with dependent children,Metro,3,1.0,0.0,0.0,0.0,-1.0,2,3,3,3,3,3,3,3,3,No,2,2,2
24,Female,2,"Electricity, Gas, Water and Waste",Couple with dependent children,Metro,1,2.0,2.0,0.0,-2.0,-2.0,1,2,1,1,1,2,1,1,1,Yes,2,1,2
45,Female,3,Other Services,Couple with no dependent children,Metro,2,-1.0,-2.0,1.0,1.0,1.0,2,2,2,2,2,2,3,3,2,No,3,3,3
46,Female,3,Financial and Insurance,Couple with no dependent children,Metro,3,0.0,0.0,0.0,2.0,-2.0,3,3,3,3,3,3,3,3,3,Yes,2,3,3
28,Female,2,Other Services,Couple with no dependent children,Metro,1,-2.0,-2.0,1.0,2.0,1.0,2,2,1,2,2,2,3,3,2,No,1,3,2
29,Female,1,Retail Trade,One parent family with dependent children,Metro,1,-4.0,1.0,1.0,2.0,0.0,3,1,2,2,2,1,2,1,1,Yes,1,1,3
52,Female,3,Retail Trade,One parent family with dependent children,Metro,1,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,3,3,3,Yes,1,3,3
43,Female,2,Accommodation and Food,One parent family with dependent children,Regional,2,-1.0,1.0,0.0,0.0,0.0,2,2,2,3,3,3,3,3,3,Yes,1,3,2
29,Female,2,"Professional, Scientific and Technical",Couple with no dependent children,Metro,2,-1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,3,3,2,No,1,3,3
26,Female,2,Construction,Couple with no dependent children,Metro,1,-1.0,0.0,3.0,-1.0,-1.0,2,2,2,2,2,2,2,2,3,Yes,2,2,3
37,Female,2,"Transport, Postal and Warehousing",Couple with dependent children,Metro,3,0.0,0.0,0.0,0.0,0.0,2,3,2,2,2,2,3,2,2,No,3,2,3
23,Female,2,Retail Trade,Multiple family household,Metro,2,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,2,1,1,3,No,1,2,2
34,Female,3,Financial and Insurance,Couple with dependent children,Regional,2,-1.5,0.0,0.0,0.0,1.5,2,1,2,2,2,2,3,3,2,No,1,2,2
47,Male,2,Financial and Insurance,Couple with dependent children,Regional,2,-4.0,1.0,1.0,0.0,2.0,2,2,1,2,2,2,3,3,1,No,3,3,2
35,Female,3,Retail Trade,Multiple family household,Metro,3,3.0,3.0,-4.0,0.0,-2.0,2,2,2,2,2,2,3,3,2,Yes,2,2,3
44,Female,3,Health Care and Social Assistance,Couple with dependent children,Metro,2,0.0,0.0,0.0,0.0,0.0,3,2,3,3,2,3,2,3,3,Yes,1,2,2
32,Male,3,Other Services,Single person,Metro,3,-2.0,0.0,0.0,-1.0,3.0,2,2,2,2,2,2,2,2,3,No,2,2,2
38,Male,2,Information Media and Telecommunications,Couple with dependent children,Metro,2,1.0,1.0,-1.0,-1.0,0.0,2,2,3,3,3,2,2,3,3,Yes,2,3,1
22,Female,2,Public Administration and Safety,Couple with dependent children,Metro,1,-0.7,0.0,0.7000000000000002,1.0,-1.0,3,1,1,3,3,2,3,3,2,No,3,3,3
40,Female,2,Information Media and Telecommunications,Single person,Metro,2,-1.0,0.0,1.0,0.0,0.0,2,2,2,2,2,1,3,3,3,No,1,2,2
50,Male,1,Education and Training,Couple with dependent children,Metro,1,-5.0,1.0,2.0,1.0,1.0,2,2,2,2,3,3,3,3,2,Yes,3,3,2
35,Female,1,Education and Training,Couple with dependent children,Metro,1,-1.5,2.0,-1.0,0.5,0.0,2,2,1,2,2,3,3,1,3,Yes,2,3,3
40,Male,3,Financial and Insurance,Couple with dependent children,Metro,3,0.0,0.0,0.0,2.0,-2.0,3,3,3,3,3,3,3,3,3,Yes,2,3,2
43,Male,3,Accommodation and Food,Couple with dependent children,Regional,3,0.0,6.0,-1.0,-5.0,0.0,3,3,3,3,3,2,3,3,3,No,1,3,2
26,Male,2,Health Care and Social Assistance,Group household,Metro,2,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,2,2,3,Yes,2,2,3
49,Male,2,Information Media and Telecommunications,Couple with dependent children,Metro,2,-2.0,0.0,1.0,1.0,0.0,1,2,3,3,3,3,3,3,3,Yes,1,3,2
29,Male,2,Manufacturing,Couple with dependent children,Metro,2,3.0,0.0,0.0,0.0,-3.0,3,3,2,2,2,2,1,1,1,Yes,1,2,2
41,Male,2,Retail Trade,Multiple family household,Metro,3,0.0,-6.0,1.0,5.0,0.0,3,3,2,3,2,3,2,3,3,Yes,2,3,2
42,Male,3,Financial and Insurance,Couple with no dependent children,Metro,1,-3.0,-0.5,0.5,2.0,1.0,3,3,3,3,3,3,3,3,3,Yes,2,2,3
53,Male,3,"Professional, Scientific and Technical",Couple with dependent children,Metro,1,-2.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,3,3,1,No,3,3,2
23,Female,2,Administrative and Support,Other one family household,Metro,2,-3.0,0.0,0.0,3.0,0.0,1,1,3,3,1,3,3,3,3,No,3,2,2
25,Female,2,Financial and Insurance,Single person,Metro,1,-0.5,-0.5,0.0,1.0,0.0,1,3,1,3,3,3,3,3,3,No,3,3,3
35,Female,3,Education and Training,Single person,Metro,1,-0.5,-2.0,0.0,1.5,1.0,2,1,1,2,2,2,2,1,3,Yes,1,1,1
41,Male,2,Retail Trade,Couple with dependent children,Metro,3,0.0,0.0,0.0,0.0,0.0,2,3,3,3,3,2,3,3,3,Yes,2,3,2
22,Female,2,Other Services,Couple with no dependent children,Metro,1,-2.5,0.0,2.0,1.0,-0.5,1,1,1,1,1,1,2,3,3,No,1,2,2
55,Male,3,Public Administration and Safety,Couple with dependent children,Metro,1,-2.0,0.0,0.0,2.0,0.0,1,1,1,1,1,1,3,3,2,No,3,3,3
28,Male,2,Accommodation and Food,Single person,Metro,3,1.0,0.0,0.0,-1.0,0.0,1,3,3,2,3,3,3,3,3,Yes,1,3,3
28,Female,2,Financial and Insurance,Multiple family household,Metro,3,-3.5,1.0,0.0,2.5,0.0,2,2,2,2,2,2,3,3,2,No,2,3,3
22,Female,1,Retail Trade,Couple with no dependent children,Metro,3,-1.5,0.0,5.0,-3.5,0.0,1,1,2,1,3,1,1,1,2,No,1,1,1
38,Male,1,Education and Training,Couple with dependent children,Metro,1,-0.5,0.5,1.0,-1.0,0.0,2,3,1,3,1,3,3,3,2,Yes,2,3,3
26,Female,2,"Rental, Hiring and Real Estate",Couple with no dependent children,Metro,2,-1.5,0.0,-1.0,2.5,0.0,1,3,2,2,3,2,3,1,3,No,1,2,1
33,Female,2,Health Care and Social Assistance,Couple with dependent children,Metro,3,-1.5,0.0,-1.5,1.0,2.0,2,2,2,2,2,3,3,3,2,Yes,2,1,3
32,Female,2,Construction,Couple with dependent children,Metro,3,-1.0,0.0,0.0,1.0,0.0,2,3,2,2,3,3,3,2,3,No,2,2,3
29,Male,3,Retail Trade,Couple with dependent children,Metro,1,-2.0,0.0,1.0,1.0,0.0,2,3,2,2,2,2,3,3,2,Yes,1,3,2
30,Female,3,"Professional, Scientific and Technical",Couple with dependent children,Metro,3,-2.0,0.0,0.0,2.0,0.0,2,3,2,3,2,2,3,3,2,Yes,2,2,3
31,Female,2,Manufacturing,Couple with no dependent children,Metro,1,0.0,0.0,0.0,1.0,-1.0,3,3,2,3,2,2,2,2,2,No,3,3,3
29,Female,3,Construction,Couple with dependent children,Regional,2,0.0,1.0,-1.0,0.0,0.0,2,2,2,2,2,1,3,3,3,No,2,3,3
42,Male,3,"Professional, Scientific and Technical",Couple with dependent children,Metro,1,-3.0,2.0,2.0,-1.0,0.0,2,3,3,2,3,3,3,3,3,No,3,2,2
31,Male,2,Retail Trade,Couple with dependent children,Metro,2,2.0,2.0,-2.0,2.0,-4.0,2,3,3,3,2,2,3,3,3,Yes,2,3,3
39,Female,3,Retail Trade,Couple with dependent children,Metro,2,-2.5,0.0,0.5,2.0,0.0,2,3,2,2,2,2,2,3,2,No,1,2,2
41,Male,2,Information Media and Telecommunications,Couple with dependent children,Metro,2,-1.0,5.0,0.0,0.0,-4.0,2,3,3,3,3,3,3,3,2,Yes,1,2,2
31,Male,2,Retail Trade,Couple with dependent children,Metro,3,-3.0,0.0,2.0,3.0,-2.0,3,2,3,3,3,3,3,3,3,Yes,1,3,3
22,Female,2,Retail Trade,Couple with no dependent children,Regional,2,-0.25,0.0,0.0,-1.0,1.2999999999999998,2,2,1,2,2,1,2,1,3,Yes,1,2,2
27,Male,2,Financial and Insurance,Couple with dependent children,Metro,2,-2.0,-2.0,2.0,2.0,0.0,2,2,2,1,2,3,3,2,3,Yes,2,3,3
36,Male,3,Administrative and Support,Couple with dependent children,Metro,1,-1.0,0.0,0.0,-1.0,2.0,1,1,1,1,1,1,3,3,3,Yes,1,3,3
44,Male,3,Administrative and Support,Single person,Metro,3,-2.0,-2.0,0.0,6.0,-2.0,3,3,3,3,3,3,3,3,2,No,2,2,3
27,Female,2,Health Care and Social Assistance,Couple with no dependent children,Regional,2,-1.5,0.0,0.0,1.5,0.0,2,2,1,3,3,3,3,3,3,No,2,3,3
37,Female,2,Arts and Recreation,Group household,Metro,2,5.0,-6.0,0.0,3.0,-2.0,2,2,2,2,2,2,1,2,2,No,1,2,2
37,Male,3,Financial and Insurance,Couple with no dependent children,Metro,2,-2.0,0.0,2.0,0.0,0.0,2,2,2,2,2,2,2,3,3,No,3,3,2
27,Male,3,Financial and Insurance,Couple with no dependent children,Metro,3,-2.0,1.0,0.0,1.0,0.0,1,3,2,2,3,1,2,2,3,No,2,2,2
26,Male,2,Construction,Couple with no dependent children,Metro,2,-2.0,0.0,0.0,2.0,0.0,2,2,2,2,2,2,2,2,2,Yes,2,2,2
31,Female,3,Information Media and Telecommunications,Couple with dependent children,Metro,1,-1.5,-2.0,3.0,-0.5,1.0,2,3,2,2,1,2,2,1,2,No,2,3,1
34,Male,3,Arts and Recreation,Couple with no dependent children,Regional,3,-0.5,0.0,1.0,1.0,-1.5,2,2,3,3,3,2,3,3,3,Yes,1,3,2
48,Male,3,Public Administration and Safety,Single person,Metro,2,-2.0,0.0,0.0,2.0,0.0,2,2,3,2,2,2,3,3,1,No,1,2,1
47,Male,2,"Professional, Scientific and Technical",Couple with dependent children,Regional,2,-4.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,3,3,2,No,3,3,2
36,Male,2,Construction,Single person,Metro,2,-0.5,0.5,0.0,0.0,0.0,1,1,2,1,1,1,2,3,2,No,2,2,2
29,Female,3,Construction,Couple with dependent children,Regional,1,-3.5,-1.0,0.0,4.5,0.0,3,2,1,2,2,2,3,3,1,No,1,2,2
45,Female,3,Retail Trade,Single person,Metro,2,-1.0,0.0,0.0,1.0,0.0,1,1,2,2,2,2,2,2,3,Yes,1,2,3
20,Female,2,Education and Training,Multiple family household,Metro,1,-2.0,-1.0,-1.0,4.0,0.0,2,2,2,2,2,2,2,1,3,Yes,1,1,2
25,Male,2,"Professional, Scientific and Technical",Single person,Metro,2,0.0,0.0,-1.0,0.0,1.0,2,2,2,2,3,3,3,1,3,No,1,2,2
48,Male,3,Public Administration and Safety,Couple with dependent children,Metro,3,-1.0,0.0,0.0,1.0,0.0,2,2,2,3,2,2,2,3,3,Yes,3,2,2
58,Male,2,Other Services,Couple with dependent children,Metro,1,-1.0,2.0,-1.0,0.0,0.0,3,3,2,2,2,2,2,3,2,No,1,1,2
24,Female,2,Retail Trade,Other one family household,Metro,2,-2.5,0.5,0.5,1.5,0.0,1,1,2,3,2,3,3,3,2,No,2,2,3
35,Female,2,Public Administration and Safety,Couple with dependent children,Regional,3,-1.0,-0.5,0.0,1.0,0.5,2,2,2,2,2,2,3,2,2,Yes,1,2,2
40,Female,1,"Rental, Hiring and Real Estate",Couple with dependent children,Metro,2,-1.0,1.0,0.0,1.0,-1.0,2,2,2,2,2,2,2,2,2,No,3,2,2
33,Female,2,Retail Trade,Couple with no dependent children,Metro,1,-0.5,0.0,0.5,0.0,0.0,3,1,2,2,2,2,3,2,3,Yes,2,2,2
37,Female,3,"Professional, Scientific and Technical",Single person,Regional,1,-5.0,0.0,0.0,4.0,1.0,1,1,1,1,1,1,3,3,1,Yes,3,2,2
27,Female,3,Other Services,One parent family with dependent children,Metro,3,0.0,0.0,1.0,0.0,-1.0,1,1,1,1,1,1,1,1,3,No,2,2,1
